PRODUCT: ULSD-ARA,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26
1/2/2025,710.25,706.75,702.5,697,692.75,689.75,688.5,687.75,687.25,687.25,684.75,681,679.75,679,677.5,675.25
1/3/2025,703,700.75,697,691.5,687.5,684.75,683.5,682.75,682.5,682.5,679.75,676,674.75,674,672.5,670
1/6/2025,705.25,703.5,700,695,691.25,688.25,687.25,686.75,686.25,686,683.5,680,678.25,677.25,675.5,673
1/7/2025,702.5,701.5,698.5,693.75,690,687.25,686.25,685.75,685.5,685.25,682.75,679.25,677.5,676.5,674.75,672.25
1/8/2025,693.75,692.75,690.25,685.75,682.25,679.75,679,678.75,678.5,678.75,676.5,673,671.5,670.75,669.25,667
1/9/2025,709,707.25,703.75,698,693.5,690,688.75,688.25,687.75,687.5,684.75,681,679.25,678.25,676.5,674
1/10/2025,709,730.75,724.5,716.25,709.75,704.75,701.75,699.5,697.75,696.5,692.5,687.75,685.5,684,681.75,679
1/13/2025,,751.5,746,735.75,726.75,719.5,714.75,711,708.25,706,701.25,695.5,692.25,690,687.25,683.75
1/14/2025,,741.5,737.25,728.25,720.5,713.75,710,707.5,705.75,704.5,700.25,695,692,690,687.5,684
1/15/2025,,759.5,753,742.25,732.75,724.5,719.5,716.25,714,712,707,701,697.5,695,692,688.25
1/16/2025,,754.5,747.5,736,726,717.25,712,709,707,705.25,700.25,694.25,690.75,688.5,686,682.5
1/17/2025,,753.5,747.5,737,726.75,717.75,712.5,709.5,707.5,706,701.25,695.25,691.75,689.75,687.25,684
1/20/2025,,746.75,740.5,729.75,720,711.5,706.5,703.5,701.5,700,695.25,689.5,686.25,684.5,682.5,679.5
1/21/2025,,737,731.5,722.75,715.25,708.5,704.75,702.5,700.75,699.5,695,689.5,686.5,684.75,682.5,679.5
1/22/2025,,727,722.25,715.25,708.75,702.25,698.75,696.75,695.5,694.75,690.75,685.5,682.5,681,679.25,676.5
1/23/2025,,716.25,713.25,707.5,702,696.75,693.5,691.75,690.75,690,686.25,681.25,678.75,677.5,675.75,673
1/24/2025,,721.75,717.75,711,704,697.75,694,691.75,690.25,689.25,685.25,680,677.5,676.25,674.5,672
1/27/2025,,704.25,700.75,695.25,689.75,684.5,681.5,680,679,678.5,674.75,670,667.75,666.75,665.25,663
1/28/2025,,701,697.75,692,685.75,680.5,677.75,676,674.75,674.25,670.5,665.5,663.25,662.25,661,659
1/29/2025,,707.25,702.75,696.25,689.75,684.25,681.25,679.5,678.25,677.5,673.5,668.5,666,665,663.5,661.25
1/30/2025,,709.5,705.75,699,692,685.5,682,680,678.75,678.25,674,668.75,666.25,665,663.5,661
1/31/2025,,711.25,707,700.25,692.75,685.75,682,680,678.75,678.25,674,668.75,666,664.75,663,660.5
2/3/2025,,716.75,712.25,704,695.75,688.25,684.25,682,680.75,680.25,676.25,670.75,668,666.75,665,662.25
2/4/2025,,712.5,709,701.75,694.25,687.5,683.75,681.25,680.25,680,676.25,671.25,668.75,667.25,665.5,663
2/5/2025,,700,696.75,690.25,683.5,677.5,674.5,672.75,672,671.75,668.5,663.75,661.5,660.5,659,656.75
2/6/2025,,698,695,688.5,682.25,676.5,673.75,671.75,670.75,670.75,667.25,662.75,660.5,659.5,658,655.75
2/7/2025,,706,701.75,694,686.5,680.25,677.5,675.5,674.5,674.5,671,666,663.75,662.75,661.25,659
2/10/2025,,718,713,704.25,695.75,689,685.75,683.75,682.5,682.25,678.5,673.5,671,669.75,668.25,665.75
2/11/2025,,733.75,729,718.5,708.5,701,697.25,694.75,693.5,693,688.75,683.25,680.5,678.75,676.75,673.75
2/12/2025,,733.75,724.5,714,704.25,696.75,692.5,690,688.75,688.25,684,678.5,675.75,674,672,669
2/13/2025,,,709,698.75,690,683.25,680,678,677.25,677.75,674,668.75,666.5,665.5,664,661.5
2/14/2025,,,714.5,702,692.25,684.75,680.75,678.25,677.25,677.5,673.75,668.5,666,664.75,663.25,660.5
2/17/2025,,,711.5,699.5,690.5,683.5,680,678,677.5,678,674.5,669.5,667.25,666.25,664.75,662.25
2/18/2025,,,719.5,706,696.25,689.25,685.25,683,682.25,682.5,678.75,673.75,671.5,670.25,668.75,666.25
2/19/2025,,,724.25,710.75,701.25,694,690,687.5,686.5,686.5,682.75,677.75,675.25,674,672.25,669.5
2/20/2025,,,734.75,719.25,708,700,695.25,692.25,691.25,691.25,687.25,681.75,679.25,677.75,675.75,673
2/21/2025,,,717,702.75,692.5,685,680.75,678.25,677.5,677.75,674.25,669,666.5,665.25,663.75,661.25
2/24/2025,,,712,697.25,687,680,676,673.75,673,673.25,669.75,664.75,662.75,661.75,660.25,658
2/25/2025,,,695.25,680.5,670.75,664,660.5,658.5,657.75,658.25,655,650.25,648.5,647.75,646.75,644.75
2/26/2025,,,682.25,670,662.75,658,655.25,653.75,653.75,654.5,651.5,647.25,645.75,645.5,644.75,643
2/27/2025,,,694,681.25,673.25,667.25,664,662.25,661.75,662.5,659.25,654.5,652.75,652.25,651.5,649.75
2/28/2025,,,690.75,677.5,669.25,663.5,660.5,659,658.75,659.5,656.25,651.5,649.75,649.25,648.25,646.25
